korean	english
토피라메이트	TOPIRAMATE
툴로부테롤	TULOBUTEROL
트라마돌염산염	TRAMADOL
트랜스포	SURGICAL_TAPE
트레할로스수화물	TREHALOSE
트로픽아미드	TROPICAMIDE
트로픽아미드_페닐레프린	TROPICAMIDE_PHENYLEPHRINE
트롤아민	TROLAMINE
트리메부틴	TRIMEBUTINE
트리메부틴말레산염	TRIMEBUTINE
트리메타지딘염산염	TRIMETAZIDINE
트리아졸람	TRIAZOLAM
트리암시놀론아세토니드	TRIAMCINOLONE_ACETONIDE
트리파로텐	TRIFAROTENE
특대형	NON_INGREDIENT_SPEC
티로프라미드염산염	TIROPRAMIDE
티볼론	TIBOLONE
티아넵틴나트륨	TIANEPTINE
티오트로퓸브롬화물수화물	TIOTROPIUM
티옥트산	THIOCTIC_ACID
티자니딘염산염	TIZANIDINE
티카그렐러	TICAGRELOR
파랑	NON_INGREDIENT_SPEC
파록세틴염산염수화물	PAROXETINE
파미드론산나트륨오수화물	PAMIDRONATE
파스	TOPICAL_ANALGESIC_PATCH
판크레아틴장용성제피정	PANCREATIN
판토프라졸나트륨세스키히드레이트	PANTOPRAZOLE
팔걸이	ARM_SLING
팔로노세트론염산염	PALONOSETRON
팔미지황환	HANBANG_HERBAL_EXTRACT
팜시클로버	FAMCICLOVIR
팜시클로비르	FAMCICLOVIR
페노피브레이트	FENOFIBRATE
페노피브레이트콜린	CHOLINE_FENOFIBRATE
페노피브릭산	FENOFIBRIC_ACID
페라미비르수화물	PERAMIVIR
페미로라스트칼륨	PEMIROLAST
페북소스타트	FEBUXOSTAT
펙소페나딘염산염	FEXOFENADINE
펙수프라잔염산염	FEXUPRAZAN
펜타닐	FENTANYL
펜터민염산염	PHENTERMINE
펜톡시필린	PENTOXIFYLLINE
펠라고니움시도이데스추출액	PELARGONIUM_SIDOIDES_EXTRACT
펠로디핀	FELODIPINE
펠루비프로펜	PELUBIPROFEN
펠비낙	FELBINAC
폐렴구균백신	PNEUMOCOCCAL_VACCINE
포도당	GLUCOSE
포도씨건조엑스	GRAPE_SEED_EXTRACT
포도엽건조엑스	GRAPE_LEAF_EXTRACT
포도엽엑스	GRAPE_LEAF_EXTRACT
포비돈	POVIDONE
포비돈요오드	POVIDONE_IODINE
포수클로랄	CHLORAL_HYDRATE
포스페니토인나트륨	FOSPHENYTOIN
포스포마이신트로메타몰	FOSFOMYCIN
포스포마이신트로메탐올	FOSFOMYCIN_TROMETAMOL
포타시움크로라이드주	POTASSIUM_CHLORIDE
폴라프레징크	POLAPREZINC
폴리데옥시리보뉴클레오티드나트륨	POLYDEOXYRIBONUCLEOTIDE
폴리말토오스수산화제이철착염	FERRIC_HYDROXIDE_POLYMALTOSE
폴리사카리드철착염	IRON_POLYSACCHARIDE
폴리스티렌설폰산칼슘	CALCIUM_POLYSTYRENE_SULFONATE
폴리카르보필칼슘	CALCIUM_POLYCARBOPHIL
폴리크레줄렌	POLICRESULEN
폴마콕시브	POLMACOXIB
푸로산모메타손	MOMETASONE_FUROATE
푸로세미드	FUROSEMIDE
푸로파라카인염산염	PROPARACAINE
푸마르산케토티펜	KETOTIFEN
푸시딘산	FUSIDIC_ACID
프란루카스트수화물	PRANLUKAST
프랄리독심염화물	PRALIDOXIME
프레가발린	PREGABALIN
프레드니솔론	PREDNISOLONE
프레드니솔론발레로아세테이트	PREDNISOLONE_VALEROACETATE
프레드니솔론아세테이트	PREDNISOLONE
프레드니카르베이트	PREDNICARBATE
프로카테롤염산염수화물	PROCATEROL
프로파라카인염산염	PROPARACAINE
프로파세타몰염산염	PROPACETAMOL
프로포폴	PROPOFOL
프로피베린염산염	PROPIVERINE
프루칼로프라이드숙신산염	PRUCALOPRIDE
프리디놀메실산염	PRIDINOL
프리마퀸인산염	PRIMAQUINE
프리필드	PREFILLED_SYRINGE
프리필드시린지	PREFILLED_SYRINGE
플라톱	UNKNOWN_INGREDIENT
플로로글루시놀수화물	PHLOROGLUCINOL
플로목세프나트륨	FLOMOXEF
플루나리진염산염	FLUNARIZINE
플루르비프로펜	FLURBIPROFEN
플루마제닐	FLUMAZENIL
플루바스타틴나트륨	FLUVASTATIN
플루벤다졸	FLUBENDAZOLE
플루오로메토론	FLUOROMETHOLONE
플루오로메톨론	FLUOROMETHOLONE
플루오시노니드	FLUOCINONIDE
플루코나졸	FLUCONAZOLE
플루트리마졸	FLUTRIMAZOLE
피나베륨브롬화물	PINAVERIUM_BROMIDE
피나스테리드	FINASTERIDE
피네레논	FINERENONE
피레녹신	PIRENOXINE
피마사르탄칼륨삼수화물	FIMASARTAN
피마살탄칼륨삼수화물	FIMASARTAN
피메크로리무스	PIMECROLIMUS
피오글리타존염산염	PIOGLITAZONE
피타바스타틴	PITAVASTATIN
피타바스타틴칼슘	PITAVASTATIN
피토나디온주사액	PHYTONADIONE
피페라실린나트륨_타조박탐나트륨	PIPERACILLIN_TAZOBACTAM
피프린히드리나트	PIPRINHYDRINATE
피프린히드리네이트	PIPRINHYDRINATE
픽스롤	UNKNOWN_INGREDIENT
필로카르핀염산염	PILOCARPINE
항파상풍사람면역글로불린	TETANUS_IMMUNE_GLOBULIN
항히스타민제_알레르기치료제	NON_INGREDIENT_SPEC
헤모코아귤라제	HEMOCOAGULASE
헤모필루스인플루엔자비형_파상풍톡소이드접합백신	HIB_TETANUS_CONJUGATE_VACCINE
헤미푸마르산비소프롤롤	BISOPROLOL
현대테놀민	ATENOLOL
혈당검사용	BLOOD_GLUCOSE_TEST_STRIP
혈당측정용_스틱	BLOOD_GLUCOSE_TEST_STRIP
혈액형	NON_INGREDIENT_SPEC
혈청분리용	NON_INGREDIENT_SPEC
호마트로핀브롬화수소산염	HOMATROPINE
혼합	NON_INGREDIENT_SPEC
혼합단미엑스산	HERBAL_MIXED_EXTRACT
혼합형	NON_INGREDIENT_SPEC
홀리스터	OSTOMY_SUPPLY_BRAND
화이트	NON_INGREDIENT_SPEC
황산마그네슘수화물	MAGNESIUM_SULFATE
황산바륨	BARIUM_SULFATE
황산수소클로피도그렐	CLOPIDOGREL
회색	NON_INGREDIENT_SPEC
후시딘	FUSIDIC_ACID
휴대용	NON_INGREDIENT_SPEC
휴먼인슐린_유전자재조합	INSULIN_HUMAN
휴먼인슐린유전자재조합	INSULIN_HUMAN
휴온스	MANUFACTURER_NAME_NOISE
희석된니트로글리세린	NITROGLYCERIN
희석한니트로글리세린용액	NITROGLYCERIN
히드로코르티손	HYDROCORTISONE
히드로코르티손숙시네이트나트륨	HYDROCORTISONE_SODIUM_SUCCINATE
히드로코르티손프로부테이트	HYDROCORTISONE
히드록소코발라민	HYDROXOCOBALAMIN
히드록시진염산염	HYDROXYZINE
히드록시클로로퀸설페이트	HYDROXYCHLOROQUINE
히드록시클로로퀸황산염	HYDROXYCHLOROQUINE
히알루론산나트륨	SODIUM_HYALURONATE
히알우론산나트륨	SODIUM_HYALURONATE
히프로멜로오스	HYPROMELLOSE
염화나트륨	SODIUM_CHLORIDE
무당	NON_INGREDIENT_SPEC
일체형	NON_INGREDIENT_SPEC
